Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Atherosclerosis,एथेरोस्क्लेरोसिस,एथेरोस्क्लेरोसिस,"Chest pain, fatigue, high cholesterol","Blood Tests, Ultrasound",Severe,Lifelong,"High cholesterol, Hypertension","Statins, Blood thinners","High Cholesterol, Smoking","High-fat diet, Smoking, Lack of exercise",Poor Sleep,High Stress,Low,Family history of heart disease,"Low-fat, High-fiber",None,All seasons,40-70 years,Both genders,"Sedentary lifestyle, High-stress work",Avoids fried foods,"Garlic, Turmeric","Arjuna, Ashwagandha","Garlic (2 cloves), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,Avoid fatty foods; include fiber-rich and antioxidant foods.,"Pranayama, Surya Namaskar","Statins, Blood Pressure Medications","Healthy Diet, Exercise",Can be Managed,"Heart Attack, Stroke",Regular Exercise,Research on Atherosclerosis and Statins
Autosomal Dominant Polycystic Kidney Disease,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,"High blood pressure, kidney pain, frequent urination","Ultrasound, Genetic Testing",Severe,Lifelong,"Genetic, Kidney disorders","ACE inhibitors, Diuretics","Family History, Hypertension","Genetic predisposition, High blood pressure",Irregular Sleep,High Stress,Low,Family history of kidney disease,"Low-sodium, High-potassium",None,All seasons,30-50 years,Both genders,"Sedentary lifestyle, Family care",Avoids high-sodium foods,"Nettle Leaf, Dandelion","Punarnava, Gokshura","Punarnava (3g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,Avoid salty foods; drink plenty of water to flush the system.,"Pranayama, Yoga for Kidney Health","Kidney Transplant, Dialysis",Regular Kidney Monitoring,"Progressive, can lead to Kidney Failure","Kidney Failure, Hypertension",Regular Kidney Monitoring,Research on Kidney Disease Management
Back Pain,पीठ में दर्द,पाठीचा दुखणं,"Muscle stiffness, difficulty moving","X-rays, MRI, Physical Exam",Mild to Moderate,Varies,"Injury, Poor posture, Sedentary lifestyle","Pain relievers, Physical therapy","Poor Posture, Sedentary Lifestyle","Poor posture, Lack of exercise",Irregular Sleep,Moderate Stress,Low to Moderate,Family history of back problems,"Balanced diet, High-protein",None,All seasons,20-60 years,Both genders,"Sedentary lifestyle, Office jobs",Avoids lifting heavy weights,"Turmeric, Ginger","Guggulu, Ashwagandha",Mahanarayan oil (as needed),Vata,Vata-Prakriti,Avoid heavy lifting; practice stretching and yoga regularly.,Yoga for Back Pain,"Painkillers, Physical Therapy","Ergonomics, Exercise",Can Improve with Treatment,"Herniated Disc, Nerve Damage","Proper Posture, Exercise",Research on Back Pain Treatments
Barth Syndrome,बार्थ सिंड्रोम,बार्थ सिंड्रोम,"Muscle weakness, fatigue, delayed growth","Genetic Testing, Blood Tests",Severe,Lifelong,"Genetic, Cardiovascular disorders","Supportive care, Heart medication","Genetic Mutation, Family History","Genetic mutation, Stress",Poor Sleep,High Stress,Low,Family history of Barth Syndrome,"Low-sodium, High-protein",None,All seasons,Childhood,Mostly Male,Special medical care,Avoids high-stress environments,None specific,"Arjuna, Ashwagandha","Shatavari (2g), Warm milk (200ml)","Vata, Pitta",Vata-Prakriti,Include nutrient-dense foods and avoid strenuous activities.,"Gentle Yoga, Cardiovascular Yoga","Cardiac Support, Medications","Genetic Counseling, Monitoring",Can be Managed with Medications,"Cardiomyopathy, Heart Failure",Regular Monitoring of Heart Health,Research on Barth Syndrome Genetics
Arrhythmia,अरिदमिकता,अरिदमिकता,"Enlarged organs, low blood sugar, growth delays","Genetic Testing, Blood Tests",Moderate to Severe,Lifelong,"Heart diseases, Hypertension","Beta-blockers, Calcium channel blockers","Genetic Mutations, Family History","High caffeine intake, Sedentary lifestyle",Poor Sleep,High Stress,Low to Moderate,Family history of heart disease,"Low-sodium, High-potassium",None,All seasons,40-70 years,Both genders,"Sedentary lifestyle, Desk jobs",Avoids alcohol and smoking,None specific,"Ashwagandha, Brahmi","Triphala (1 tsp), Warm water (200ml)",Kapha,Kapha-Prakriti,Avoid sugary foods; focus on a balanced diet and regular meals.,Physical Therapy for Developmental Delays,"Surgery, Hormonal Therapy",Prenatal Screening,Can be Managed with Treatment,"Tumors, Intellectual Disabilities","Regular Monitoring, Surgical Intervention",Research on Beckwith-Wiedemann Syndrome
Arthritis,गठिया,संधिवात,"Vision loss, difficulty focusing","Eye Exam, Genetic Testing",Moderate to Severe,Lifelong,"Autoimmune diseases, Joint inflammation","NSAIDs, Corticosteroids",Genetic Mutation,"Weather changes, Joint strain",Poor Sleep,High Stress,Low to Moderate,Family history of joint disorders,"Anti-inflammatory, High-calcium",None,"Winter, Rainy season",30-60 years,Both genders,"Sedentary lifestyle, Active",Avoids heavy physical activity,None specific,None specific,Triphala decoction (5ml),Pitta,Pitta-Prakriti,Avoid eye strain; include Vitamin A-rich foods like carrots.,"Eye Exercises, Vision Training","Vision Aids, Surgery",None,Progressive Vision Loss,"Vision Impairment, Macular Degeneration",Regular Eye Checkups,Research on Macular Dystrophies
Ascariasis,ऐस्केरियासिस,ऐस्केरियासिस,"Seizures, skin rash, hearing loss","Blood Tests, Genetic Testing",Moderate to Severe,Lifelong,"Poor sanitation, Contaminated water","Anthelmintics (Mebendazole, Albendazole)",Genetic Mutation,"Poor sanitation, Contaminated food",Irregular Sleep,Moderate Stress,Low,Family history of parasitic infections,"Low-fat, High-carb diet",None,"Monsoon, Summer",All ages,Both genders,Exposure to unsanitary conditions,Avoids raw food,None specific,None specific,"Amalaki (10ml), Water (200ml)","Vata, Pitta",Pitta-Prakriti,Include biotin-rich foods like nuts and seeds.,None specific,Biotin Supplementation,"Early Detection, Screening",Can be Managed with Biotin,"Cognitive Impairment, Seizures",Biotin Supplementation,Research on Biotinidase Deficiency
Asparagine Synthetase Deficiency,ऐस्पैरेजिन सिंथेटेस की कमी,ऐस्पैरेजिन सिंथेटेसची कमतरता,"Fever, chest pain, cough","Blood Tests, Culture Test",Severe,6-12 months,Genetic metabolic disorders,"Enzyme replacement, Dietary management",Exposure to Contaminated Soil,Genetic mutation,Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",None,All seasons,Childhood,Both genders,"Active lifestyle, Special care",Avoids high-protein foods,None specific,"Neem, Turmeric","Turmeric (1/2 tsp), Honey (1 tsp)","Kapha, Pitta",Kapha-Prakriti,Avoid cold foods; consume warm soups and herbal teas.,None specific,Antifungal Medications,Avoid Exposure to Soil,Can be Managed with Medication,"Lung Damage, Skin Ulcers",Avoid Soil Contact,Research on Blastomycosis Treatment
Aspartylglucosaminuria,एस्पार्टाइलग्लूकोसामिन्यूरिया,एस्पार्टाइलग्लूकोसामिन्यूरिया,"Small stature, sensitivity to sunlight, skin rash","Genetic Testing, Blood Tests",Severe,Lifelong,Genetic metabolic disorders,"Enzyme replacement, Symptomatic treatment",Genetic Mutation,"Genetic mutation, Poor protein metabolism",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-carb",None,All seasons,Childhood to Adult,Both genders,"Active lifestyle, Medical care",Avoids high-protein foods,None specific,None specific,"Neem leaves (5g), Water (as needed)",Pitta,Pitta-Prakriti,Avoid direct sunlight; apply aloe vera gel for skin care.,None specific,Symptomatic Treatment,None,Increased Risk of Cancer,"Increased Cancer Risk, Short Stature",Genetic Counseling,Research on Bloom Syndrome
Asthma,अस्थमा,अस्थमा,"Pain, swelling, difficulty moving","Physical Exam, X-ray, CT Scan",Mild to Severe,6-8 weeks (varies),"Allergies, Respiratory infections","Inhalers (Beta-agonists, Corticosteroids)","Osteoporosis, Accidents","Pollen, Dust, Pollution",Irregular Sleep,High Stress,Low to Moderate,Family history of asthma,"Low-dairy, High-protein","Dust, Pollen, Pollution","Winter, Spring",All ages,Both genders,Exposure to allergens,Favors natural remedies,None specific,"Ashwagandha, Shallaki","Hadjod powder (2g), Warm water (200ml)",Vata,Vata-Prakriti,Include calcium-rich foods; avoid cold foods and drinks.,"Stretching, Strengthening Exercises","Casts, Surgery","Fall Prevention, Calcium Intake","Heals with Treatment, Rare Complications","Malunion, Non-union","Adequate Rest, Bone Strengthening",Research on Bone Healing and Fracture Recovery
Atherosclerosis,एथेरोस्क्लेरोसिस,एथेरोस्क्लेरोसिस,"Muscle weakness, difficulty swallowing, breathing","Blood Tests, Stool Test",Severe,2-4 weeks,"High cholesterol, Hypertension","Statins, Blood thinners","Contaminated Food, Wound Infections","High-fat diet, Smoking, Lack of exercise",Poor Sleep,High Stress,Low,Family history of heart disease,"Low-fat, High-fiber",None,All seasons,40-70 years,Both genders,"Sedentary lifestyle, High-stress work",Avoids fried foods,None specific,None specific,"Turmeric (1g), Warm water (200ml)","Kapha, Vata",Kapha-Prakriti,Avoid processed foods; stay hydrated and consume light meals.,"Breathing Exercises, Physical Therapy","Antitoxin, Supportive Care",Safe Food Practices,Can be Treated with Antitoxin,"Respiratory Failure, Paralysis",Proper Food Storage,Research on Botulism Toxin Treatment
Autosomal Dominant Polycystic Kidney Disease,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,"Lump in breast, skin changes, nipple discharge","Mammogram, Biopsy, Ultrasound",Severe,6 months to lifelong,"Genetic, Kidney disorders","ACE inhibitors, Diuretics","Family History, Hormonal Factors","Genetic predisposition, High blood pressure",Irregular Sleep,High Stress,Low,Family history of kidney disease,"Low-sodium, High-potassium",None,All seasons,30-50 years,Both genders,"Sedentary lifestyle, Family care",Avoids high-sodium foods,None specific,"Ashwagandha, Guggulu",Ashwagandha (5g daily),Kapha,Kapha-Prakriti,Avoid fatty foods; include antioxidant-rich foods like berries.,"Yoga for Strength, Post-Surgery Rehab","Surgery, Chemotherapy, Radiation","Regular Screening, Healthy Diet",Can be Managed with Treatment,"Metastasis, Recurrence","Regular Screening, Healthy Lifestyle",Research on Breast Cancer Treatments
Back Pain,पीठ में दर्द,पाठीचा दुखणं,"Persistent cough, mucus production, chest pain","Physical Exam, Chest X-ray, Sputum Culture",Mild to Moderate,2-4 weeks,"Injury, Poor posture, Sedentary lifestyle","Pain relievers, Physical therapy","Smoking, Air Pollution, Respiratory Infections","Poor posture, Lack of exercise",Irregular Sleep,Moderate Stress,Low to Moderate,Family history of back problems,"Balanced diet, High-protein",None,All seasons,20-60 years,Both genders,"Sedentary lifestyle, Office jobs",Avoids lifting heavy weights,"Honey, Ginger","Tulsi, Licorice","Mulethi (3g), Warm water (200ml)","Kapha, Vata",Kapha-Vata,Avoid cold drinks; inhale steam with eucalyptus oil.,"Breathing Exercises, Chest Therapy","Bronchodilators, Antibiotics","Avoid Smoking, Air Quality Control",Can be Managed with Medication,Chronic Obstructive Pulmonary Disease (COPD),"Rest, Hydration",Research on Bronchitis Treatment
Barth Syndrome,बार्थ सिंड्रोम,बार्थ सिंड्रोम,"Fever, joint pain, fatigue","Blood Test, Culture Test",Severe,6-8 weeks,"Genetic, Cardiovascular disorders","Supportive care, Heart medication",Contact with Infected Animals,"Genetic mutation, Stress",Poor Sleep,High Stress,Low,Family history of Barth Syndrome,"Low-sodium, High-protein",None,All seasons,Childhood,Mostly Male,Special medical care,Avoids high-stress environments,None specific,None specific,"Giloy (5g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,Avoid raw milk; include immunity-boosting herbs.,None specific,"Antibiotics, Supportive Care","Avoid Animal Contact, Hygiene",Can be Managed with Antibiotics,"Osteoarticular Infections, Heart Valve Infection","Regular Monitoring, Antibiotics",Research on Brucellosis Treatment
Brugada Syndrome,ब्रुगाडा सिंड्रोम,ब्रुगाडा सिंड्रोम,"Fainting, irregular heartbeat, chest pain","Electrocardiogram (ECG), Genetic Testing",Severe,Lifelong,"Genetic heart conditions, Arrhythmia",Anti-arrhythmic drugs,"Genetic Mutation, Family History","Genetic, Emotional stress",Poor Sleep,High Stress,Low,Family history of heart disease,"Low-sodium, High-potassium",None,All seasons,20-50 years,Both genders,"Sedentary lifestyle, High-stress work",Avoids alcohol and caffeine,None specific,None specific,"Arjuna (3g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid stress and caffeine; include magnesium-rich foods.,"Gentle Yoga, Stress Reduction","Implantable Cardioverter Defibrillator (ICD), Medication",Avoidance of Triggers,Can be Managed with ICD or Medications,Sudden Cardiac Arrest,Regular Monitoring of Heart Function,Research on Genetic Arrhythmia
Bubonic Plague,बुबोनिक प्लेग,बुबोनिक प्लेग,"Fever, chills, swollen lymph nodes","Blood Test, Culture Test",Severe,2-4 weeks,"Infection, Poor hygiene","Antibiotics (Streptomycin, Doxycycline)","Flea Bites, Contact with Infected Animals","Poor sanitation, Rodent exposure",Irregular Sleep,Moderate Stress,Low,No family history,"Balanced, High-protein",None,"Winter, Rainy season",All ages,Both genders,"Poor sanitation, Rural areas",Avoids crowded areas,None specific,None specific,"Neem (5g), Turmeric (2g)","Kapha, Pitta",Kapha-Prakriti,Practice hygiene; avoid crowded places and eat light meals.,None specific,"Antibiotics, Supportive Care","Avoid Flea Bites, Rodent Control",Treatable with Antibiotics,"Septicemia, Organ Failure","Good Hygiene, Avoid Rodent Areas",Research on Antibiotic Resistance
Buruli Ulcer,बुरुली अल्सर,बुरुली अल्सर,"Skin ulcers, pain, fever","Skin Biopsy, PCR Test",Severe,6-12 months,"Poor sanitation, Contaminated water",Antibiotics (Rifampicin),"Contact with Infected Water, Soil","Poor sanitation, Tropical environments",Irregular Sleep,Moderate Stress,Low,No family history,"Low-fat, High-protein",None,Wet season,All ages,Both genders,"Rural, Remote areas",Avoids contaminated water,None specific,None specific,"Turmeric (1g), Water (as needed)",Pitta,Pitta-Prakriti,Avoid spicy foods; clean ulcers with antiseptic solutions.,None specific,"Antibiotics, Surgery",Avoid Contact with Contaminated Water,Treatable with Antibiotics,"Skin Ulceration, Scarring",Proper Wound Care,Research on Buruli Ulcer Treatment
COVID-19,कोविड-19,कोविड-19,"Fever, cough, difficulty breathing","PCR Test, Blood Tests",Severe,"2-4 weeks, may vary","Respiratory infections, Underlying conditions","Antiviral drugs, Steroids","Age, Pre-existing Health Conditions, Exposure","Airborne transmission, Crowded places",Irregular Sleep,High Stress,Low,No family history,"Low-carb, High-protein",Airborne pollutants,"Winter, Rainy season",All ages,Both genders,"Work from home, Social distancing",Favors herbal remedies,"Elderberry, Echinacea","Ashwagandha, Tulsi","Giloy (3g), Tulsi leaves (5g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,"Practice hygiene, stay hydrated, and boost immunity with herbs.","Pranayama, Breathing Exercises","Antiviral Drugs, Oxygen Therapy","Vaccination, Social Distancing","Can Recover, Some Long-Term Effects","Pneumonia, Acute Respiratory Distress Syndrome (ARDS)","Stay Hydrated, Rest",Research on COVID-19 Treatment Options
